id;adresse_email;code_statut;date_statut;code_usage_email
c035f2a3-9863-459d-994d-06de311bd451;feminize oh mysteriously;ouch;2025-04-10;jealously unblinking
9ae9f4de-6b52-4fbd-92e3-bd2255e7877a;even impractical;barracks unless creaking;2025-04-10;clamp bliss despite
4c6f3309-5f31-45cf-9c7f-d91380ca7992;why furthermore;e-mail depend;2025-04-11;ah
4daa66b2-5d98-48e6-b9bd-0ca6b3d7a40e;fluctuate politely as;nudge pinion between;2025-04-11;smoothly knottily besmirch
405ea430-571c-4afb-a90f-da857bc16d54;ick except;what tightly where;2025-04-10;tensely rosin worth
e17e9ce9-75b1-45c2-9823-431eae45d3e9;beside;fishery oh hmph;2025-04-10;trek deflect neck
b049e5b3-6afe-45a6-99b3-79423bd86855;planula arrogantly;yowza;2025-04-11;print
f8160a91-22af-49f8-9908-bc03d50fc44c;until;legend backbone;2025-04-10;cleverly cop anti
7eb178ce-66f5-4b83-8157-02067630f800;eek hmph;tremendously shark yahoo;2025-04-11;wildly ew wealthy
e38058a0-c9b5-47bb-907b-f7ad868b2859;tomb valuable;inasmuch scornful boohoo;2025-04-11;toothpick ribbon apprehensive
