id;type_meg;code_offre;date_effet
7cc02aba-d6df-414a-b688-d830e3e31ab7;negotiation;ingratiate impact;2025-04-11
e4be0ba9-ba8e-4ecb-a352-ff38e9559804;interestingly while;burdensome;2025-04-10
b52962f8-d47c-48a8-a63a-25b68d8984c4;video;fatally;2025-04-11
87db453d-3e39-47ea-a964-f0563bbdae89;unbearably uh-huh alongside;freely clearly;2025-04-11
f1dd450b-86d4-47a7-9173-2b61ca7be487;whoever;tattered;2025-04-10
f5622c2d-4255-40fb-af52-80519facb73f;along;voluntarily hmph less;2025-04-10
89427027-c154-4dc1-98f6-33c7732337fd;roasted mooch;affectionate;2025-04-11
31ecd1bf-dc23-4ce9-b391-bc56208fb72e;phew;beside;2025-04-11
57d34fff-696d-4ce6-b9c5-1e8aa1e27f82;throughout swear;provided even;2025-04-10
79108ba7-9b36-42fc-8176-3e5490dd9155;pluck frightfully shadowbox;until;2025-04-10
