id;id_entreprise_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siren;code_forme_juridique;raison_sociale;code_categorie_juridique;code_idcc;code_ape
41b63578-6909-48bc-905f-2c55cec61fc4;cool fondly;yieldingly;next;astride;finally awful following;though factorize;unsteady um;yak bah;2025-04-10;2025-04-10;2025-04-10;whoever a over;cannon;2025-04-10;2025-04-11;zowie;and genuine;around troubled;than unsightly;far-flung harvest ride;witty provided hm;er;whoa onto hm
6b8290d0-ef3d-480b-a6dc-644bcdfcf4a2;know;haunting;outrank airbus;meanwhile;gray forgather whoever;howl monthly;attest;worriedly duh;2025-04-11;2025-04-10;2025-04-10;monumental duh;mummify;2025-04-11;2025-04-11;planula whether;zealous ew;worth;aha boldly;beneath;precedent;steeple;expense
e506068d-50d2-493a-a0a7-0186701ca7f9;quicker rapid gladly;geez sew;deliberately consequently countess;interior subtract verbally;thankfully;unlike thoroughly yuck;uh-huh;likewise eminent yearningly;2025-04-11;2025-04-10;2025-04-11;breakable outside thoughtfully;lend manner;2025-04-10;2025-04-11;buck over;tensely incidentally;incidentally;ugh unaccountably;faithfully drat;searchingly awful opposite;baggy how consequently;rightfully blindly
12c0bdae-105b-41d8-be02-d53d68b59c52;jealous reservation;chime;irritably gee regal;er bleakly whereas;as competent masquerade;now;whoever drat;breastplate psst victoriously;2025-04-10;2025-04-11;2025-04-11;knavishly bowler;on fooey;2025-04-10;2025-04-10;in incidentally worriedly;thrifty;dearly mortally consistency;gosh gee;um furthermore narrow;whenever sleepily forenenst;yahoo;pish
c8b935de-3903-41a4-805d-a4613d0bcbf2;hmph from;coliseum;unless generally;unruly upliftingly utterly;unto gee rekindle;liberalize;forenenst spew blue;proud foodstuffs huzzah;2025-04-11;2025-04-11;2025-04-10;ack;if darling absent;2025-04-11;2025-04-11;typeface;government;blink righteously gadzooks;secularize adaptation;curse ditch;aha come;gadzooks within;who ham
486d46f1-6e14-4a5b-9315-04eb9dbbb396;enraged;before;ravage;so acidic;obtrude;along peninsula;phew;drat promptly;2025-04-10;2025-04-11;2025-04-10;pish outside;cautious pish amongst;2025-04-11;2025-04-11;that indeed tomography;furthermore;till;label forgery;furiously beyond condense;hence;bitterly upset offensively;yellowish outset
79901ac8-ba76-47fc-88ba-593087703a7b;beyond but;as submitter er;promptly vibrant;ick aw evenly;joyfully;electric er;vaguely;adventurously sudden;2025-04-10;2025-04-11;2025-04-10;jovially;fort;2025-04-10;2025-04-10;queasily;among;absent as throughout;override um fathom;without;even;energetically that thankfully;per
88bd3f9f-b31f-4fde-9ac3-d6277a99b5b8;rue clinch;crank every;complication midst;aw healthily over;daintily scare;incidentally geez who;ha deselect please;beyond than slight;2025-04-11;2025-04-11;2025-04-11;however yet frightfully;uh-huh grok custom;2025-04-11;2025-04-11;ick jet finally;row foot reboot;stigmatize;reassuringly;nice understated;pish whose likewise;woot pip who;fervently smarten
6cf9265c-5628-4331-ad1c-445ed678a6a4;less instructor;terrorise;tabulate violently;gigantic;duh for continually;mysterious wetly brr;key redress lest;modulo;2025-04-11;2025-04-10;2025-04-10;unhealthy secret;swiftly soft;2025-04-10;2025-04-11;below nightlife;bakeware cruelly;in given beyond;before;ugh frenetically;whitewash promise ick;wearily;e-mail
a57f97dc-7ac1-4cd9-9458-099c7222244e;delete;verve;oof;absent descent;woot ack although;mmm;buzzing version emphasise;ramp wetly;2025-04-11;2025-04-11;2025-04-11;amongst before;natural exaggerate how;2025-04-10;2025-04-10;quarrelsomely reborn;navigate until;valley voluminous powerless;phew;concerning attest worthy;technologist;motor;carelessly
