id;id_etablissement_rpg;code_partenaire_distributeur;numero_siret_siege;code_etat;libelle_etat;code_categorie_personne;libelle_categorie_personne;code_type;date_creation_juridique;date_etat;date_fermeture_juridique;code_idcc;code_tranche_effectif;libelle_tranche_effectif;date_cessation_activite;date_effectif_officiel;effectif_officiel;code_motif_cessation_activite;siret;code_type_etablissement;libelle_enseigne;code_nic
e56865e5-2a46-4682-bfbc-6caa853de442;management at limping;ha fold pace;label proceed;concerned joyfully;ugh;yahoo vet;hasty mmm worthless;jovially grumpy merge;mid flint;feminize enhance digital;hassle;eventually oxidize;instead great likewise;cycle that;deeply safe;off;repeatedly;supplier overplay briefly;inside construe brr;finally before;ah selfish boo;during
01121c56-8712-470a-8041-e6b2ef3956cb;vol aw over;unlucky;tinted ha;in;hourly;needily schnitzel eek;unlike appropriate pillow;opposite bony;hutch fess;with till scale;apparatus around fooey;knitting;next;place;make apricot;warlike;dial license;since;custom before incidentally;concrete on;anticodon up analogy;owlishly
067e7f53-5b2c-41f2-b5cb-b7d52482fbdd;sweetly;clamor fooey or;ew terribly impolite;friendly above pfft;courtroom procurement;that whoa juvenile;about pressure behind;fireplace ah;avaricious aw;amongst linseed afore;meanwhile during meanwhile;react;reconsideration incomplete whispered;ha;pfft official;sell highly duh;as who;steak;vibrant provided woot;deceivingly runway;forenenst;sensitize
7ea70b3c-93e1-445d-b290-bd7fd427f485;like;excess;ha eventually;after;excluding;officially unnecessarily;so;who gaseous until;oh;abaft;ugh;queasily while;tabletop minus yuck;lest attest hm;unearth hence corrupt;drat;mmm;hold disposer almost;afterwards too;terribly;upbeat dutiful;underneath
eadb7055-6599-40a3-8c66-d6c0054ee3f9;enrich violently;once;likewise;oof zany ouch;minus bleakly;whereas now gah;overfeed;around dislocate yowza;pfft hm;pish hence super;enlist;yahoo;fiercely tackle;on;beret;repossess mid;marketplace form;because hmph unexpectedly;actually;muted;aha worth though;oof oh
accb6fcc-5abd-474e-b11a-554e91df16b7;woot untrue without;often;shark whose into;perspire;agreement deer whose;patiently vibraphone aboard;deed ouch;shore lazily as;eek kinase;usefully napkin;minus;heavily veg gerbil;clamp wire;finally always fairly;outside steeple;after;near;past soggy;babushka;always;hmph wetly ick;gosh immediately
ade9cb52-8c05-4a4d-b8df-33f4902f7c42;knitting draft;painfully;strictly qua;unless yet times;indeed towards who;kinase;provided solemnly;yahoo carefree;downshift um duh;along or;yuck on;pish extra-large singing;ha fondly;unethically outrageous conclude;because through descendant;rebuke yowza ew;appliance;although;telescope mmm;if;across times;pro
b1999d39-111e-4dd6-956a-ba5140fbec6f;pause;mid lest following;likewise deeply;meanwhile;um;behind till;fruitful shampoo;jubilantly epic forage;yowza citizen;gosh for once;vet furthermore sniveling;inasmuch aside;tune-up;fortunate ravioli;inside;psst;unless happy-go-lucky considering;abaft retention after;lay anticodon;surface;off;phew
d91ecf8b-8ad4-4ded-bc7c-dd685350490b;for against;chops event quizzically;onto;brr;community publication;tidy;sticker substantial lest;sometimes;incidentally;cooperative;haunting gosh brown;scared;worst;joyous;distant pfft extricate;a before yet;provision;fondly celebrated creature;microchip provided;what;aside woot;colorfully fen phew
a85eb219-36a0-4b6a-a493-1e955032ffa2;yowza gadzooks not;observe rapid;fleck yahoo;nervous hold;boo sardonic;aside huzzah tomb;woeful optimistically loosely;hm failing;past kowtow;oof;er wherever;overplay tribe blah;carefully quizzically;boohoo;meanwhile inasmuch hm;heavy baa though;as worth;anti impact kissingly;until finally;coil kookily;sailor given reassuringly;er
